transaction_id,customer_id,timestamp,amount,merchant_category,payment_method,device_type,channel,is_international,country_risk_score,card_present,hour_of_day,day_of_week,customer_age,account_tenure_days,avg_txn_amount_30d,txn_count_24h,chargeback_history_count,velocity_score,distance_from_home_km,ip_risk_score,email_age_days,failed_login_count_7d,new_device,vpn_used,proxy_used,billing_shipping_mismatch,merchant_risk_score,fraud_label
TXN100010,CUST1466,2025-07-02 21:29:00,62.12,grocery,mobile_wallet,pos_terminal,online,0,36.8,0,21,2,39,751,73.42,2,0,27.66,1.7,39.0,842,0,1,0,0,0,34.6,0
TXN100011,CUST2238,2025-11-18 12:42:00,112.88,fuel,credit_card,mobile,online,0,14.5,0,12,1,25,749,74.93,4,0,16.8,1.2,33.8,264,1,0,0,0,0,33.8,0
TXN100012,CUST1330,2025-04-12 16:44:00,6.24,restaurant,debit_card,mobile,in_store,0,51.1,1,16,5,46,1156,15.59,1,0,27.72,7.3,49.8,457,0,0,1,0,0,9.9,0
TXN100013,CUST2482,2025-03-18 16:01:00,51.15,fuel,bank_transfer,mobile,in_store,1,11.1,1,16,1,18,710,45.68,2,0,20.78,33.1,22.6,1388,2,1,0,0,0,15.9,0
TXN100014,CUST3135,2025-06-07 12:01:00,14.79,restaurant,credit_card,mobile,in_store,0,57.4,1,12,5,26,1093,27.31,4,0,27.4,4.5,35.1,389,0,0,1,0,0,26.2,0
TXN100015,CUST4444,2025-12-16 16:55:00,96.96,travel,credit_card,desktop,in_store,0,45.9,1,16,1,29,1599,29.5,4,0,21.12,2.5,37.8,297,0,0,0,0,0,47.9,0
TXN100016,CUST4171,2025-04-28 12:59:00,109.41,fuel,credit_card,mobile,in_store,0,1.0,1,12,0,37,855,35.11,3,0,8.35,63.8,5.1,510,2,0,0,0,0,36.7,0
TXN100017,CUST3919,2025-06-21 15:05:00,49.44,restaurant,debit_card,pos_terminal,online,0,19.7,0,15,5,36,729,72.41,0,0,9.7,22.7,21.6,437,0,0,0,0,0,47.5,0
TXN100018,CUST4735,2025-08-04 17:05:00,194.54,restaurant,credit_card,mobile,in_store,0,72.5,1,17,0,65,663,102.19,2,0,22.78,4.6,26.2,95,1,0,0,0,0,32.5,0
TXN100019,CUST1130,2025-01-31 22:32:00,22.04,restaurant,credit_card,mobile,in_store,0,32.4,1,22,4,39,1072,31.78,2,0,13.75,12.4,29.4,364,0,0,0,0,0,1.0,0
TXN100020,CUST2685,2025-05-19 05:21:00,9.74,fashion,credit_card,desktop,in_store,0,16.6,1,5,0,34,833,10.61,5,0,18.53,11.0,48.1,551,2,0,0,0,0,32.4,0
TXN100021,CUST4380,2025-05-25 04:06:00,13.53,restaurant,credit_card,desktop,in_store,0,21.6,1,4,6,33,553,34.64,2,0,4.91,2.9,1.0,747,0,0,0,0,0,49.3,0
TXN100022,CUST1769,2025-10-05 19:54:00,3.79,fuel,credit_card,pos_terminal,in_store,0,52.5,1,19,6,42,916,17.8,0,0,14.7,29.1,30.8,293,1,0,0,0,0,41.9,0
TXN100023,CUST3391,2025-02-21 17:14:00,223.03,restaurant,credit_card,tablet,in_store,0,68.6,1,17,4,19,984,157.24,4,0,29.28,4.0,44.3,420,0,0,0,0,0,38.2,0
TXN100024,CUST2515,2025-07-19 12:32:00,42.88,grocery,credit_card,mobile,online,0,37.4,0,12,5,20,1547,51.28,3,0,13.41,2.9,20.7,813,0,0,0,0,0,15.0,0
TXN100025,CUST4485,2025-05-21 10:52:00,36.74,fuel,debit_card,pos_terminal,online,1,37.1,0,10,2,18,471,50.98,2,0,18.67,8.1,45.4,383,0,0,0,0,0,13.2,0
TXN100026,CUST3853,2025-08-13 17:19:00,18.01,restaurant,credit_card,mobile,in_store,0,17.8,1,17,2,27,1012,21.14,1,0,9.22,32.4,20.4,353,0,0,0,0,0,47.8,0
TXN100027,CUST3433,2025-08-22 23:40:00,9.16,grocery,debit_card,pos_terminal,online,0,42.6,0,23,4,56,714,14.72,1,0,28.6,2.1,17.5,134,0,1,1,0,0,5.7,0
TXN100028,CUST2215,2025-09-24 21:25:00,103.94,fuel,debit_card,mobile,online,0,5.7,0,21,2,31,904,91.58,6,0,9.25,17.6,1.2,216,1,0,0,0,0,40.4,0
TXN100029,CUST1955,2025-06-25 00:51:00,21.71,restaurant,mobile_wallet,mobile,in_store,0,40.5,1,0,2,21,270,58.44,1,0,15.37,30.4,33.8,492,1,0,0,0,0,15.1,0
TXN100030,CUST3324,2025-03-12 13:31:00,40.52,electronics,credit_card,tablet,online,0,73.6,0,13,2,40,214,37.86,3,0,13.95,5.3,5.6,833,0,0,0,0,0,33.5,0
TXN100031,CUST2184,2025-01-12 10:48:00,153.97,fashion,credit_card,mobile,in_store,0,12.0,1,10,6,51,559,132.55,4,0,22.76,85.1,47.2,310,0,0,0,0,0,13.5,0
TXN100032,CUST1459,2025-05-12 21:13:00,28.27,gaming,mobile_wallet,mobile,online,0,35.6,0,21,0,43,1720,25.65,1,0,22.72,20.1,25.6,134,0,1,0,0,0,44.1,0
TXN100033,CUST4385,2025-09-22 08:25:00,111.32,travel,bank_transfer,tablet,in_store,0,41.4,1,8,0,43,786,177.96,1,1,19.38,37.5,38.1,781,0,0,0,0,0,35.9,0
TXN100034,CUST1021,2025-01-13 18:34:00,40.51,grocery,credit_card,mobile,online,0,51.5,1,18,0,52,766,39.9,2,0,20.82,26.3,45.2,307,0,0,0,0,0,45.0,0
TXN100035,CUST3300,2025-05-03 21:38:00,36.54,grocery,credit_card,mobile,online,0,21.8,0,21,5,34,874,33.0,2,0,11.61,10.9,24.3,258,0,0,0,0,0,10.7,0
TXN100036,CUST1747,2025-02-11 04:52:00,49.84,grocery,bank_transfer,mobile,online,1,28.2,0,4,1,23,1110,39.41,0,0,15.49,54.1,38.1,637,0,0,0,0,0,49.0,0
TXN100037,CUST3904,2025-04-27 22:17:00,32.49,electronics,credit_card,pos_terminal,online,1,34.2,0,22,6,44,1100,20.76,3,0,25.37,28.3,37.3,1010,2,0,1,0,0,15.3,0
TXN100038,CUST4632,2025-01-30 14:28:00,29.11,electronics,mobile_wallet,mobile,online,0,36.5,0,14,3,37,1205,89.8,1,0,19.78,8.6,30.2,757,1,0,0,0,1,28.3,0
TXN100039,CUST1474,2025-11-30 06:18:00,80.29,fuel,mobile_wallet,desktop,in_store,0,1.0,1,6,6,27,1439,61.02,2,0,10.0,4.6,23.1,298,0,0,0,0,0,31.5,0
TXN100040,CUST2082,2025-02-06 02:33:00,49.34,gaming,credit_card,mobile,in_store,0,53.2,1,2,3,18,1141,82.36,1,0,15.56,23.5,25.7,326,0,0,0,0,0,7.7,0
TXN100041,CUST3558,2025-04-29 08:58:00,21.18,restaurant,bank_transfer,mobile,online,0,23.4,0,8,1,48,303,16.72,2,0,13.46,32.2,31.1,414,0,0,0,0,0,1.0,0
TXN100042,CUST4753,2025-11-09 16:41:00,68.51,grocery,debit_card,mobile,online,0,60.4,1,16,6,26,1482,52.54,0,0,19.41,27.7,38.2,333,0,0,0,0,0,15.1,0
TXN100043,CUST3047,2025-11-29 10:40:00,20.97,travel,bank_transfer,desktop,online,0,30.4,0,10,5,41,366,22.99,1,0,9.63,57.7,13.6,924,2,0,0,0,0,49.7,0
TXN100044,CUST4547,2025-12-18 15:17:00,24.59,electronics,credit_card,mobile,in_store,0,27.1,1,15,3,33,448,38.3,2,0,6.18,17.2,1.0,1106,1,0,0,0,0,36.4,0
TXN100045,CUST3747,2025-01-06 22:19:00,5.96,restaurant,credit_card,mobile,in_store,1,5.4,1,22,0,51,738,14.54,0,0,9.95,12.5,35.5,200,0,0,0,0,0,25.9,0
TXN100046,CUST1975,2025-04-02 21:35:00,14.76,fuel,debit_card,desktop,in_store,0,52.4,1,21,2,45,1011,20.68,1,0,10.24,9.2,10.1,164,0,0,0,0,0,21.9,0
TXN100047,CUST2806,2025-10-10 07:21:00,40.69,restaurant,credit_card,pos_terminal,online,0,26.5,0,7,4,42,393,93.7,3,0,22.45,31.4,20.1,700,0,1,0,0,0,29.6,0
TXN100048,CUST1189,2025-06-16 21:10:00,40.83,grocery,mobile_wallet,pos_terminal,online,0,9.4,0,21,0,40,767,63.31,2,0,5.69,29.2,4.6,233,0,0,0,0,0,52.8,0
TXN100049,CUST4005,2025-05-24 15:53:00,6.36,fuel,credit_card,mobile,in_store,0,46.9,1,15,5,20,311,24.31,2,0,16.44,11.0,35.2,144,0,0,0,0,0,6.0,0
TXN100050,CUST3734,2025-08-05 03:31:00,14.9,gaming,credit_card,mobile,in_store,0,51.6,1,3,1,38,1357,23.6,0,0,20.85,346.9,29.1,549,0,0,0,0,0,30.9,0
TXN100051,CUST4005,2025-12-04 19:56:00,11.3,restaurant,credit_card,desktop,online,0,26.3,0,19,3,31,949,16.35,4,0,10.77,6.1,15.8,621,0,0,0,0,0,26.2,0
TXN100052,CUST1562,2025-09-09 05:59:00,14.92,travel,mobile_wallet,pos_terminal,in_store,0,8.1,1,5,1,38,779,23.69,1,0,8.44,74.7,18.9,493,0,0,0,0,0,37.9,0
TXN100053,CUST2899,2025-03-15 06:14:00,10.41,gaming,credit_card,mobile,online,0,40.3,0,6,5,34,1092,19.32,2,0,15.77,4.8,35.7,236,0,0,0,0,0,10.5,0
TXN100054,CUST4638,2025-06-06 22:37:00,339.98,grocery,bank_transfer,desktop,online,0,9.8,1,22,4,21,677,118.21,6,0,26.36,14.3,39.6,396,2,0,0,0,0,29.8,0
TXN100055,CUST2267,2025-02-05 23:18:00,71.55,fuel,credit_card,pos_terminal,in_store,0,18.8,1,23,2,36,448,36.52,2,1,12.43,15.0,24.5,323,2,0,0,0,0,28.7,0
TXN100056,CUST3879,2025-10-19 03:10:00,11.59,electronics,debit_card,mobile,online,0,1.0,0,3,6,19,541,24.51,3,0,15.66,3.6,50.9,2110,1,0,0,0,0,4.9,0
TXN100057,CUST2528,2025-07-07 04:58:00,45.16,grocery,mobile_wallet,mobile,online,0,5.6,0,4,0,48,1614,59.33,3,0,4.71,1.7,1.0,676,1,0,0,0,0,4.3,0
TXN100058,CUST4202,2025-02-16 22:13:00,158.18,grocery,credit_card,desktop,online,1,19.1,0,22,6,42,592,36.48,5,0,17.34,10.3,24.4,981,0,0,0,0,0,35.1,0
TXN100059,CUST4556,2025-11-21 15:48:00,16.98,digital_goods,credit_card,pos_terminal,online,0,1.0,0,15,4,30,198,40.43,3,0,28.9,4.7,23.1,964,0,1,0,1,0,13.3,0
TXN100060,CUST4890,2025-05-04 04:38:00,78.21,fashion,mobile_wallet,desktop,online,0,36.6,0,4,6,30,1379,46.46,5,0,14.22,33.0,11.3,1252,0,0,0,0,0,26.1,0
TXN100061,CUST1646,2025-08-28 16:03:00,20.32,restaurant,debit_card,mobile,in_store,0,7.2,1,16,3,18,382,25.05,2,1,21.77,11.2,33.9,750,1,1,0,0,0,22.9,0
TXN100062,CUST3068,2025-07-13 13:47:00,56.87,digital_goods,debit_card,mobile,in_store,0,48.2,1,13,6,38,976,73.31,2,0,26.25,3.2,36.4,633,1,0,1,0,0,67.5,0
TXN100063,CUST3888,2025-08-16 20:05:00,28.51,digital_goods,bank_transfer,desktop,in_store,0,56.5,1,20,5,31,1125,41.34,0,0,17.43,17.4,37.8,617,0,0,0,0,0,20.5,0
TXN100064,CUST3214,2025-01-30 13:57:00,60.41,restaurant,debit_card,mobile,online,0,47.8,0,13,3,55,660,24.77,3,1,11.54,12.1,5.4,274,0,0,0,0,0,60.9,0
TXN100065,CUST2297,2025-10-30 17:35:00,43.26,restaurant,bank_transfer,mobile,online,0,28.9,0,17,3,38,795,68.55,2,1,14.3,8.2,31.1,867,0,0,0,0,0,35.0,0
TXN100066,CUST3435,2025-07-31 00:55:00,157.86,electronics,debit_card,desktop,online,1,32.1,0,0,3,50,2020,55.06,2,1,32.69,6.3,49.5,490,2,1,0,0,0,3.9,0
TXN100067,CUST1600,2025-03-02 09:38:00,76.11,grocery,debit_card,mobile,in_store,1,13.5,0,9,6,36,1417,42.46,2,0,14.93,1.5,13.6,267,1,0,0,0,1,35.0,0
TXN100068,CUST3363,2025-07-14 07:57:00,4.6,fuel,credit_card,mobile,in_store,1,67.5,1,7,0,51,1190,9.76,2,0,14.36,19.8,16.5,414,1,0,0,0,0,5.7,0
TXN100069,CUST3061,2025-12-02 05:57:00,43.68,travel,mobile_wallet,tablet,online,0,11.0,0,5,1,28,781,67.25,2,1,21.99,28.2,28.8,213,1,1,0,0,0,29.3,0
TXN100070,CUST1241,2025-04-28 04:49:00,23.73,grocery,bank_transfer,tablet,online,0,27.1,0,4,0,43,658,22.85,1,0,15.78,1.0,44.0,144,0,0,0,0,0,46.3,0
TXN100071,CUST3041,2025-09-05 16:28:00,23.73,fuel,credit_card,desktop,atm,0,54.6,0,16,4,33,942,43.43,0,1,22.34,13.8,19.2,310,0,1,0,0,0,25.6,0
TXN100072,CUST3824,2025-09-08 00:13:00,89.32,gaming,debit_card,pos_terminal,online,0,22.8,0,0,0,51,658,42.14,0,0,11.23,2.2,23.1,206,0,0,0,0,0,28.2,0
TXN100073,CUST4417,2025-08-15 08:49:00,51.25,restaurant,credit_card,mobile,in_store,0,13.7,0,8,4,28,467,38.15,2,1,7.79,77.9,5.8,429,0,0,0,0,0,1.0,0
TXN100074,CUST3612,2025-09-30 15:39:00,26.91,gaming,debit_card,mobile,atm,0,51.1,0,15,1,32,2101,30.45,4,0,11.95,14.4,6.1,494,1,0,0,0,0,33.3,0
TXN100075,CUST3945,2025-06-15 07:58:00,164.72,gaming,mobile_wallet,mobile,online,0,14.3,0,7,6,42,490,55.56,5,0,31.73,53.8,16.0,404,0,1,0,0,1,67.3,0
TXN100076,CUST2363,2025-06-16 18:20:00,27.76,fashion,credit_card,mobile,in_store,0,35.3,1,18,0,30,1012,34.3,1,0,16.6,4.0,2.6,1650,1,0,0,1,0,28.9,0
TXN100077,CUST3139,2025-10-10 22:35:00,50.48,fashion,mobile_wallet,pos_terminal,in_store,0,42.6,1,22,4,47,1341,24.08,3,0,37.63,5.3,50.0,469,0,1,0,0,1,21.8,0
TXN100078,CUST2390,2025-01-30 20:56:00,37.42,digital_goods,credit_card,desktop,online,0,1.0,0,20,3,43,1092,60.81,0,0,6.71,33.6,19.2,1443,0,0,0,0,0,41.2,0
TXN100079,CUST4003,2025-11-05 06:08:00,33.67,grocery,debit_card,mobile,online,0,41.6,1,6,2,64,167,49.88,0,0,12.67,12.3,25.7,488,0,0,0,0,0,6.0,0
TXN100080,CUST2478,2025-07-18 21:40:00,59.63,fashion,debit_card,desktop,in_store,0,1.2,0,21,4,52,431,36.88,1,0,3.85,14.7,3.3,1104,0,0,0,0,0,29.0,0
TXN100081,CUST4499,2025-08-21 05:04:00,5.99,fuel,credit_card,mobile,online,0,28.7,0,5,3,41,1018,8.79,3,1,9.09,19.4,10.7,763,0,0,0,0,0,28.8,0
TXN100082,CUST3556,2025-05-10 17:27:00,20.17,fashion,debit_card,mobile,online,0,42.1,0,17,5,31,888,26.94,0,0,14.43,2.3,10.9,497,0,0,0,0,1,20.8,0
TXN100083,CUST1775,2025-11-09 00:23:00,43.91,electronics,bank_transfer,mobile,online,0,68.2,0,0,6,45,1519,26.12,0,0,21.93,5.0,49.3,832,0,0,0,0,0,46.9,0
TXN100084,CUST1034,2025-10-07 23:29:00,57.86,electronics,credit_card,desktop,online,0,18.2,0,23,1,35,633,34.36,1,0,12.35,49.2,26.6,321,0,0,0,0,0,53.2,0
TXN100085,CUST3253,2025-01-19 10:47:00,13.15,electronics,credit_card,mobile,online,1,12.4,0,10,6,58,751,12.42,2,0,11.66,9.1,32.0,568,0,0,0,0,0,43.7,0
TXN100086,CUST4152,2025-11-12 02:19:00,9.75,fashion,debit_card,desktop,atm,0,47.0,0,2,2,36,1137,26.79,4,0,10.91,7.8,6.5,805,0,0,0,0,0,41.7,0
TXN100087,CUST2955,2025-02-13 13:08:00,77.93,restaurant,debit_card,pos_terminal,online,0,39.1,0,13,3,24,1075,34.37,2,0,10.19,14.4,5.1,969,0,0,0,0,0,30.6,0
TXN100088,CUST2585,2025-03-29 15:26:00,18.46,travel,mobile_wallet,mobile,in_store,0,18.3,1,15,5,37,1141,50.43,1,0,8.95,17.4,20.2,241,0,0,0,0,0,33.0,0
TXN100089,CUST4943,2025-11-17 09:25:00,99.59,electronics,credit_card,pos_terminal,online,0,8.3,0,9,0,40,791,21.44,2,0,22.54,2.8,35.6,859,0,0,1,0,0,60.8,0
TXN100090,CUST4459,2025-08-02 08:48:00,339.44,fashion,mobile_wallet,mobile,online,0,22.4,0,8,5,38,556,111.29,1,1,22.66,39.2,32.8,450,0,0,0,0,0,7.2,0
TXN100091,CUST4073,2025-06-13 23:09:00,220.89,grocery,debit_card,mobile,online,0,1.5,0,23,4,47,1092,64.02,2,0,18.0,12.0,37.4,208,0,0,0,0,0,1.0,0
TXN100092,CUST2021,2025-12-11 09:51:00,87.3,restaurant,credit_card,desktop,online,1,51.4,0,9,3,25,603,97.06,0,0,14.71,18.8,22.2,294,0,0,0,0,0,24.3,0
TXN100093,CUST4461,2025-07-19 01:20:00,161.93,fashion,mobile_wallet,pos_terminal,in_store,0,19.3,1,1,5,38,353,72.92,1,0,17.94,6.9,39.3,433,0,0,0,0,0,10.9,0
TXN100094,CUST3613,2025-03-05 08:57:00,176.56,digital_goods,credit_card,mobile,in_store,0,60.7,1,8,2,26,1105,38.28,0,0,29.05,11.2,1.0,607,0,1,0,0,1,2.3,0
TXN100095,CUST2129,2025-01-03 10:35:00,62.76,fashion,debit_card,desktop,in_store,0,32.7,1,10,4,18,1470,34.84,1,1,16.93,3.8,1.0,730,0,1,0,0,0,18.5,0
TXN100096,CUST4843,2025-06-14 16:25:00,83.97,restaurant,bank_transfer,desktop,online,0,19.0,0,16,5,33,983,78.07,1,0,18.83,7.8,20.3,1189,0,0,1,0,0,34.7,0
TXN100097,CUST4893,2025-01-16 21:13:00,29.85,electronics,debit_card,desktop,online,0,35.9,0,21,3,27,1465,28.1,4,0,14.09,61.9,17.8,852,0,0,0,0,0,15.8,0
TXN100098,CUST2500,2025-07-11 13:51:00,63.02,grocery,debit_card,mobile,online,0,29.0,0,13,4,54,894,38.1,1,0,16.89,12.1,41.9,460,0,0,0,0,0,21.8,0
TXN100099,CUST1702,2025-06-08 16:17:00,13.77,grocery,debit_card,desktop,in_store,0,26.2,1,16,6,38,858,24.49,2,0,5.61,10.1,1.0,1197,0,0,0,0,0,40.6,0
TXN100100,CUST3449,2025-05-09 10:52:00,107.56,gaming,credit_card,mobile,online,0,39.6,0,10,4,38,793,90.08,1,0,15.13,2.7,25.2,150,1,0,0,0,0,21.3,0
TXN100101,CUST3777,2025-12-21 07:57:00,4.1,electronics,debit_card,mobile,online,0,33.5,0,7,6,39,1016,10.01,1,0,17.09,6.0,48.1,436,2,0,0,0,0,1.0,0
TXN100102,CUST2579,2025-10-15 21:06:00,27.18,fashion,mobile_wallet,desktop,in_store,0,42.9,1,21,2,40,1136,94.2,2,0,10.91,112.5,4.4,260,0,0,0,0,0,29.7,0
TXN100103,CUST1161,2025-09-14 13:12:00,86.54,restaurant,debit_card,tablet,online,0,72.0,0,13,6,56,771,100.05,0,0,19.02,5.3,30.7,504,0,0,0,0,0,27.3,0
TXN100104,CUST1201,2025-06-19 06:41:00,40.2,electronics,mobile_wallet,pos_terminal,online,0,48.6,0,6,3,26,1691,45.17,1,1,29.76,18.5,46.2,484,0,0,0,1,0,28.9,0
TXN100105,CUST2981,2025-06-18 15:01:00,215.41,electronics,debit_card,mobile,online,1,19.8,0,15,2,18,544,140.08,2,0,15.54,23.9,18.5,878,0,0,0,0,0,29.9,0
TXN100106,CUST1995,2025-01-09 22:35:00,9.34,restaurant,debit_card,mobile,online,1,23.1,0,22,3,33,1170,10.46,4,0,6.63,6.2,1.0,1166,0,0,0,0,0,15.9,0
TXN100107,CUST3317,2025-10-30 10:05:00,43.28,travel,debit_card,mobile,online,0,28.2,0,10,3,35,3225,69.29,1,0,9.75,6.9,16.5,205,1,0,0,0,0,34.5,0
TXN100108,CUST4934,2025-08-26 10:45:00,18.19,restaurant,credit_card,mobile,in_store,0,31.6,0,10,1,39,626,18.81,3,0,25.36,26.0,32.4,406,0,1,0,0,0,15.9,0
TXN100109,CUST1815,2025-01-05 11:37:00,133.99,fashion,mobile_wallet,desktop,in_store,0,33.3,1,11,6,55,671,84.38,0,0,28.95,12.8,42.7,483,0,1,0,0,0,40.3,0
TXN100110,CUST4342,2025-01-23 23:04:00,10.87,fashion,bank_transfer,desktop,online,0,44.0,1,23,3,43,348,9.76,0,0,8.39,6.7,10.6,182,0,0,0,0,0,23.3,0
TXN100111,CUST1455,2025-05-26 15:27:00,48.81,grocery,mobile_wallet,mobile,in_store,0,11.0,1,15,0,39,1294,112.04,1,0,23.69,17.6,55.0,258,0,0,0,0,1,18.3,0
TXN100112,CUST4533,2025-04-22 08:33:00,19.74,restaurant,debit_card,tablet,online,0,9.3,0,8,1,46,187,25.17,1,0,6.95,8.3,17.1,943,0,0,0,0,0,23.8,0
TXN100113,CUST4798,2025-06-14 12:07:00,16.46,restaurant,mobile_wallet,mobile,atm,0,42.8,1,12,5,30,468,17.3,2,0,29.64,33.0,7.0,143,0,1,0,1,0,24.6,0
TXN100114,CUST2275,2025-10-23 03:57:00,23.81,digital_goods,debit_card,desktop,online,0,24.7,0,3,3,18,1793,14.04,3,0,8.48,3.8,9.3,480,0,0,0,0,0,44.3,0
TXN100115,CUST2016,2025-05-28 22:57:00,63.52,fashion,debit_card,pos_terminal,in_store,0,60.7,1,22,2,28,844,41.53,3,0,13.54,4.0,7.5,73,1,0,0,0,0,27.2,0
TXN100116,CUST4773,2025-11-27 13:35:00,98.84,restaurant,mobile_wallet,mobile,online,0,14.8,0,13,3,39,1306,110.2,1,0,7.89,22.6,7.6,547,0,0,0,0,0,27.4,0
TXN100117,CUST3343,2025-08-23 02:08:00,81.5,fashion,debit_card,mobile,online,0,58.5,1,2,5,63,1247,53.88,2,0,11.6,6.5,1.6,402,0,0,0,0,0,37.4,0
TXN100118,CUST4796,2025-03-03 21:42:00,14.97,fashion,debit_card,desktop,in_store,0,21.7,1,21,0,36,716,5.4,0,0,10.39,56.8,24.8,798,1,0,0,0,0,28.6,0
TXN100119,CUST3767,2025-01-20 04:03:00,157.88,restaurant,credit_card,tablet,online,0,54.6,0,4,0,46,817,65.41,4,0,17.64,5.2,12.2,159,0,0,0,0,0,33.9,0
TXN100120,CUST4820,2025-02-19 00:45:00,6.85,grocery,mobile_wallet,mobile,in_store,0,30.9,1,0,2,55,453,12.6,1,0,17.69,2.6,51.7,637,0,0,0,0,0,19.1,0
TXN100121,CUST1337,2025-07-15 16:07:00,30.13,electronics,credit_card,mobile,online,0,30.9,0,16,1,48,573,62.66,2,0,19.88,8.4,22.0,151,1,0,1,0,0,2.9,0
TXN100122,CUST1878,2025-09-05 04:50:00,40.29,electronics,credit_card,pos_terminal,online,0,15.4,1,4,4,46,360,62.33,1,0,6.84,14.4,10.8,1026,0,0,0,0,0,37.5,0
TXN100123,CUST2076,2025-07-21 02:44:00,29.13,restaurant,credit_card,tablet,online,0,40.7,0,2,0,43,666,83.05,3,0,16.41,7.5,32.4,245,0,0,0,0,0,10.8,0
TXN100124,CUST1791,2025-05-29 16:37:00,33.28,fashion,debit_card,tablet,atm,0,13.5,0,16,3,27,284,37.75,2,0,13.85,15.2,37.3,767,1,0,0,0,0,18.9,0
TXN100125,CUST4993,2025-11-21 02:47:00,19.6,fashion,credit_card,desktop,in_store,0,51.2,1,2,4,47,824,20.69,2,0,28.41,16.4,39.0,177,1,1,0,0,0,42.2,1
TXN100126,CUST3264,2025-03-18 15:33:00,63.72,digital_goods,debit_card,desktop,online,0,41.8,0,15,1,47,1033,66.57,4,0,17.16,6.7,3.6,1237,0,0,0,0,1,1.2,0
TXN100127,CUST1763,2025-07-05 10:14:00,83.85,fashion,credit_card,pos_terminal,online,0,32.8,0,10,5,18,1418,225.85,5,0,13.13,121.6,1.0,281,0,0,0,0,0,23.3,0
TXN100128,CUST3235,2025-01-14 03:09:00,8.08,electronics,debit_card,desktop,in_store,0,20.9,0,3,1,40,284,13.66,4,0,25.16,68.0,39.4,628,0,0,1,0,0,23.0,0
TXN100129,CUST1379,2025-07-08 09:01:00,31.67,fuel,credit_card,mobile,in_store,0,39.8,1,9,1,34,751,13.71,0,0,6.45,23.5,1.0,212,0,0,0,0,0,23.0,0
TXN100130,CUST1492,2025-06-23 14:15:00,26.57,restaurant,credit_card,pos_terminal,in_store,1,38.5,1,14,0,28,796,28.14,4,0,14.68,3.0,24.0,459,1,0,0,0,0,17.1,0
TXN100131,CUST4112,2025-10-31 20:18:00,30.73,grocery,bank_transfer,desktop,in_store,0,24.3,1,20,4,39,821,38.33,2,0,11.48,3.2,23.9,419,0,0,0,0,0,17.2,0
TXN100132,CUST2180,2025-03-30 12:23:00,12.57,gaming,credit_card,mobile,in_store,0,33.2,1,12,6,33,1642,12.98,2,0,13.76,8.5,30.5,353,0,0,0,0,0,1.0,0
TXN100133,CUST3062,2025-03-12 12:16:00,89.12,grocery,credit_card,desktop,online,0,13.8,0,12,2,56,1194,69.96,2,0,11.8,14.6,22.3,43,0,0,0,0,0,31.4,0
TXN100134,CUST4884,2025-06-24 23:41:00,36.18,travel,mobile_wallet,mobile,in_store,0,13.9,0,23,1,39,602,74.25,2,1,5.44,5.5,3.9,711,0,0,0,0,0,36.3,0
